DATE,MORTGAGE30US
3/5/2020,3.29
3/12/2020,3.36
3/19/2020,3.65
3/26/2020,3.5
4/2/2020,3.33
4/9/2020,3.33
4/16/2020,3.31
4/23/2020,3.33
4/30/2020,3.23
5/7/2020,3.26
5/14/2020,3.28
5/21/2020,3.24
5/28/2020,3.15
6/4/2020,3.18
6/11/2020,3.21
6/18/2020,3.13
6/25/2020,3.13
7/2/2020,3.07
7/9/2020,3.03
7/16/2020,2.98
7/23/2020,3.01
7/30/2020,2.99
8/6/2020,2.88
8/13/2020,2.96
8/20/2020,2.99
8/27/2020,2.91
9/3/2020,2.93
9/10/2020,2.86
9/17/2020,2.87
9/24/2020,2.9
10/1/2020,2.88
10/8/2020,2.87
10/15/2020,2.81
10/22/2020,2.8
10/29/2020,2.81
11/5/2020,2.78
11/12/2020,2.84
11/19/2020,2.72
11/25/2020,2.72
12/3/2020,2.71
12/10/2020,2.71
12/17/2020,2.67
12/24/2020,2.66
12/31/2020,2.67
1/7/2021,2.65
1/14/2021,2.79
1/21/2021,2.77
1/28/2021,2.73
2/4/2021,2.73
2/11/2021,2.73
2/18/2021,2.81
2/25/2021,2.97
3/4/2021,3.02
3/11/2021,3.05
3/18/2021,3.09
3/25/2021,3.17
4/1/2021,3.18
4/8/2021,3.13
4/15/2021,3.04
4/22/2021,2.97
4/29/2021,2.98
5/6/2021,2.96
5/13/2021,2.94
5/20/2021,3
5/27/2021,2.95
6/3/2021,2.99
6/10/2021,2.96
6/17/2021,2.93
6/24/2021,3.02
7/1/2021,2.98
7/8/2021,2.9
7/15/2021,2.88
7/22/2021,2.78
7/29/2021,2.8
8/5/2021,2.77
8/12/2021,2.87
8/19/2021,2.86
8/26/2021,2.87
9/2/2021,2.87
9/9/2021,2.88
9/16/2021,2.86
9/23/2021,2.88
9/30/2021,3.01
10/7/2021,2.99
10/14/2021,3.05
10/21/2021,3.09
10/28/2021,3.14
11/4/2021,3.09
11/10/2021,2.98
11/18/2021,3.1
11/24/2021,3.1
12/2/2021,3.11
12/9/2021,3.1
12/16/2021,3.12
12/23/2021,3.05
12/30/2021,3.11
1/6/2022,3.22
1/13/2022,3.45
1/20/2022,3.56
1/27/2022,3.55
2/3/2022,3.55
2/10/2022,3.69
2/17/2022,3.92
2/24/2022,3.89
3/3/2022,3.76
3/10/2022,3.85
3/17/2022,4.16
3/24/2022,4.42
3/31/2022,4.67
4/7/2022,4.72
4/14/2022,5
4/21/2022,5.11
4/28/2022,5.1
5/5/2022,5.27
5/12/2022,5.3
5/19/2022,5.25
5/26/2022,5.1
6/2/2022,5.09
6/9/2022,5.23
6/16/2022,5.78
6/23/2022,5.81
6/30/2022,5.7
7/7/2022,5.3
7/14/2022,5.51
7/21/2022,5.54
7/28/2022,5.3
8/4/2022,4.99
8/11/2022,5.22
8/18/2022,5.13
8/25/2022,5.55
9/1/2022,5.66
9/8/2022,5.89
9/15/2022,6.02
9/22/2022,6.29
9/29/2022,6.7
10/6/2022,6.66
10/13/2022,6.92
10/20/2022,6.94
10/27/2022,7.08
11/3/2022,6.95
11/10/2022,7.08
11/17/2022,6.61
11/23/2022,6.58
12/1/2022,6.49
12/8/2022,6.33
12/15/2022,6.31
12/22/2022,6.27
12/29/2022,6.42
1/5/2023,6.48
1/12/2023,6.33
1/19/2023,6.15
1/26/2023,6.13
2/2/2023,6.09
2/9/2023,6.12
2/16/2023,6.32
2/23/2023,6.5
