DATE,ACTLISCOUUS
2020-03-01,936768.0
2020-04-01,941187.0
2020-05-01,927807.0
2020-06-01,870940.0
2020-07-01,822207.0
2020-08-01,778993.0
2020-09-01,748818.0
2020-10-01,733489.0
2020-11-01,683245.0
2020-12-01,611546.0
2021-01-01,531073.0
2021-02-01,464214.0
2021-03-01,439922.0
2021-04-01,435045.0
2021-05-01,447088.0
2021-06-01,491880.0
2021-07-01,546151.0
2021-08-01,574109.0
2021-09-01,577566.0
2021-10-01,565205.0
2021-11-01,511739.0
2021-12-01,444855.0
2022-01-01,376591.0
2022-02-01,346141.0
2022-03-01,353651.0
2022-04-01,379601.0
2022-05-01,479069.0
2022-06-01,573244.0
2022-07-01,691216.0
2022-08-01,726353.0
2022-09-01,731085.0
2022-10-01,752314.0
2022-11-01,749745.0
2022-12-01,680436.0
2023-01-01,616317.0
2023-02-01,578627.0
2023-03-01,562041.0
2023-04-01,563025.0
2023-05-01,582032.0
2023-06-01,613791.0
